Station;Abbr.;Latitude;Longitude;Station Height;Stationstyp;Type de station;Tipo di stazione;Standorttyp;Type de site;Tipo di sito
Bern Stadt;BERSTA;46.945926;7.439835;540;modellierte Daten;Données modélisées;Dati modellati;städtisch;urbain;urbana
Genève Stadt;GVESTA;46.199639;6.135694;374;modellierte Daten;Données modélisées;Dati modellati;städtisch;urbain;urbana
Lausanne Stadt;LAUSTA;46.520769;6.63151;480;modellierte Daten;Données modélisées;Dati modellati;städtisch;urbain;urbana
Luzern Stadt;LUZSTA;47.048308;8.308131;436;modellierte Daten;Données modélisées;Dati modellati;städtisch;urbain;urbana
Winterthur Stadt;WINSTA;47.500408;8.728192;442;modellierte Daten;Données modélisées;Dati modellati;städtisch;urbain;urbana
Zürich Stadt;ZUESTA;47.37759;8.530352;409;modellierte Daten;Données modélisées;Dati modellati;städtisch;urbain;urbana
;;;;;;;;;;
Parameter/paramètre/parametro;Bedeutung;Signification;Significato;Einheit/unité/unità;Zeitliche Auflösung;Résolution temporelle;Risoluzione temporale;;;
station;Abkürzung der Station;Abréviation de la station;Abbreviazione della stazione;;;;;;;
time.yy;Jahr;Année;Anno;;;;;;;
time.mm;Monat;Mois;Mese;;;;;;;
time.dd;Tag;Jour;Giorno;;;;;;;
time.hh;Stunde;Heure;Ora;;;;;;;
temp;Lufttemperatur;Température de l’air;Temperatura dell’aria;°C;Stundenmittel;Moyenne horaire;Media oraria;;;
relhum;Relative Feuchtigkeit;Humidité relative;Umidità relativa dell’aria;%;Stundenmittel;Moyenne horaire;Media oraria;;;
vappres;Dampfdruck;Pression de vapeur;Pressione del vapore acqueo;hPa;Stundenmittel;Moyenne horaire;Media oraria;;;
dewpt;Taupunkt;Point de rosée;Punto di rugiada;°C;Stundenmittel;Moyenne horaire;Media oraria;;;
mixratio;Mischungsverhältnis;Rapport de mélange;Rapporto di miscelazione;g/kg;Stundenmittel;Moyenne horaire;Media oraria;;;
wetbulb;Feuchttemperatur;Température du thermomètre mouillé;Temperatura umida;°C;Stundenmittel;Moyenne horaire;Media oraria;;;
enthalpy;Enthalpie;Enthalpie;Entalpia;kJ/kg;Stundenmittel;Moyenne horaire;Media oraria;;;
precip;Niederschlag;Précipitations;Precipitazioni;mm;Stundensumme;Somme horaire;Somma oraria;;;
airpres;Luftdruck auf Barometerhöhe;Pression atmosphérique à l'altitude du baromètre;Pressione all'altitudine barometrica;hPa;Momentanwert;Valeurs momentanées;Valori istantanei;;;
winddir;Windrichtung;Direction du vent;Direzione del vento;Grad;Stundenmittel;Moyenne horaire;Media oraria;;;
windmean;Windgeschwindigkeit, Mittel;Vitesse du vent, moyenne;Velocità del vento, media;m/s;Stundenmittel;Moyenne horaire;Media oraria;;;
